model,feature,importance_mean,importance_std,feature_group,is_shift_feature
random_forest,wap1_mean,0.017311269633379277,0.0006496910468955908,book,False
random_forest,mid_mean,0.016808731373546704,0.0006808293042276564,book,False
random_forest,mean_trade_price,0.013125023364244547,0.001006939839362205,trade,False
random_forest,mid_early_mean,0.006943108867145798,0.0005148102528749352,book,False
random_forest,mid_min,0.005030534489015914,0.0005235055485197171,book,False
random_forest,obs_vol_proxy,0.004534466184325692,0.0005567577759034741,book,False
random_forest,mid_std,0.003519900576162094,0.000820651752405849,book,False
random_forest,mid_max,0.0027325535524666657,0.0008779275276231898,book,False
random_forest,wap1_std,0.0026880058738852687,0.0004460021981408059,book,False
random_forest,obs_mid_range,0.0022350710082829073,8.177060305765252e-05,book,False
random_forest,imbalance1_shift,0.0018569064945088032,0.0005508362355587837,book,True
random_forest,std_trade_price,0.0018082633749065824,0.0002787019832695581,trade,False
random_forest,dollar_volume_early,0.0005242892102549579,0.0002945286029511506,trade,False
random_forest,n_book_updates,0.00048100979040071045,0.00015213191234124225,book,False
random_forest,imbalance1_early_mean,0.0004394778750411943,0.00042722496700757756,book,False
random_forest,depth1_shift,0.00037238464996973696,0.00029441996848729267,book,True
random_forest,spread1_shift,0.0003515638535121379,0.00030698455426945266,book,True
random_forest,trade_count,0.00027251839554254254,0.0003325115365604892,trade,False
random_forest,n_book_seconds,0.00026703039222693016,0.00017247270902801294,book,False
random_forest,imbalance1_late_mean,0.00025909630737572795,0.00037928837585869625,book,False
random_forest,total_volume,0.0002564494940684225,0.00012878210239952682,trade,False
random_forest,n_trade_seconds,0.00025475705723434496,0.0002001185766023278,trade,False
random_forest,mean_trade_size_early,0.0002482469600874948,0.00031543676448625506,trade,False
random_forest,dollar_volume_late,0.00023694745257112347,0.00016304210165607618,trade,False
random_forest,depth1_mean,0.00021781763117889597,0.0003422465952046511,book,False
random_forest,total_volume_late,0.00017983994485273324,0.0002184505279998395,trade,False
random_forest,mean_trade_size_late,0.00017778261273622143,0.00022761663604460109,trade,False
random_forest,mean_trade_size_shift,0.0001709656789946168,0.0003272202135780545,trade,True
random_forest,imbalance1_mean,0.0001503606089790388,0.0005673128393347746,book,False
random_forest,rel_spread1_mean,0.0001378066375442799,0.0003306341159710362,book,False
random_forest,trade_count_late,0.00013167702777001634,0.00016464539938242169,trade,False
random_forest,rel_spread1_shift,0.00012923969651648103,0.00021914990033458314,book,True
random_forest,spread1_std,9.790655899413191e-05,9.443213243826949e-05,book,False
random_forest,total_volume_early,9.677375510981356e-05,0.0002572879954875437,trade,False
random_forest,dollar_volume,9.647947653821377e-05,0.0004019149047733974,trade,False
random_forest,std_trade_size,8.732624530847222e-05,0.00039995403944185034,trade,False
random_forest,depth2_mean,7.701086522420298e-05,0.0002799001551740053,book,False
random_forest,volume_shift,6.896846802355583e-05,0.0004704320264257053,trade,True
random_forest,imbalance1_std,6.768575278013334e-05,0.0002734932253398188,book,False
random_forest,spread2_mean,4.543823388767354e-05,0.00029450054456976884,book,False
random_forest,rel_spread1_late_mean,1.0985979449240624e-05,0.00022108561239233412,book,False
random_forest,total_order_count,-2.6879433825621747e-06,0.00039294552594231467,trade,False
random_forest,spread1_last,-1.2568396946055494e-05,0.0003337414244886068,book,False
random_forest,trade_count_early,-4.494576708224951e-05,0.00019940663954791276,trade,False
random_forest,mean_trade_size,-5.965218401629002e-05,0.00034282977863805253,trade,False
random_forest,spread1_late_mean,-6.120194945147261e-05,0.0004428508909343615,book,False
random_forest,depth1_std,-7.34594034102809e-05,0.00020823858797375572,book,False
random_forest,spread1_mean,-0.00011476299898822706,0.00013610915735884284,book,False
random_forest,depth1_late_mean,-0.00012482010275609577,0.00033284589042553334,book,False
random_forest,trade_count_shift,-0.00015506554971311814,0.0002659036673672432,trade,True
random_forest,depth1_early_mean,-0.00017705380448320706,0.00013279040529441737,book,False
random_forest,rel_spread1_early_mean,-0.00018304817525729433,0.0003383398069907997,book,False
random_forest,stock_id,-0.00029655686988001585,0.00016731597998530175,stock_id,False
random_forest,volume_per_trade,-0.0004584351606468307,0.00035975531525177554,trade,False
random_forest,spread1_early_mean,-0.0004749862353598866,0.00013480449549089992,book,False
